inputSeq,outputSeq
after three years drought conditions farmers welcomed spring rains hoped would continue long enough restore crops verdant abundance ,"After three years of drought conditions, the farmers welcomed the spring rains and hoped they would continue long enough to restore their crops to verdant abundance."
in accordance verdict five panelists sally crowned spelling bee champion ,"In accordance with the verdict of all five panelists, Sally was crowned the spelling bee champion."
one week successful surgery john verdure eager leave hospital ,"One week after a successful surgery, John was in verdure and eager to leave the hospital."
she stood verge lake line water met sand ,She stood on the verge of the lake at the line where the water met the sand.
in order write proper research paper must use facts back argument information easily verifiable ,In order to write a proper research paper you must use facts to back up your argument or information that is easily verifiable.
the university waited verification students sat scores final gpa admitting fall semester ,The university waited for verification of the students SAT scores and final GPA before admitting her for fall semester.
the waitress asked see drivers license could verify age ,The waitress asked to see my drivers license so she could verify my age.
at 7ft tall basketball player verily one tallest people record nba ,"At over 7ft tall, the basketball player was verily one of the tallest people on record for the NBA."
after talking witness police officer thought story verisimilar would confirm hard evidence ,"After talking to the witness, the police officer thought her story was verisimilar but would have to confirm it with hard evidence."
when mans wife lied stand destroyed chance jury would believe capable giving even ounce verisimilitude ,"When the mans wife lied on the stand, she destroyed any chance the jury would believe she was capable of giving them even an ounce of verisimilitude."
as i watched brother drink beer beer i realized veritable sponge ,"As I watched my brother drink beer after beer, I realized he was a veritable sponge."
